"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,15709435,15709435,55.7307378454552
"hsa_system_get_info",2029,9777678,4818,34.6872570118069
"hsa_amd_memory_pool_allocate",8,997261,124657,3.5378797107914126
"hsa_executable_load_agent_code_object",2,343688,171844,1.2192663726371322
"hsa_agent_get_info",71,223428,3146,0.7926324081887327
"hsa_executable_freeze",2,177675,88837,0.6303192219638232
"hsa_signal_create",41,166996,4073,0.5924344381093042
"hsa_amd_memory_pool_get_info",58,140459,2421,0.4982918677237464
"hsa_system_get_major_extension_table",3,123129,41043,0.4368120190301595
"hsa_executable_destroy",1,81924,81924,0.29063330204116644
"hsa_amd_agent_iterate_memory_pools",15,74870,4991,0.2656085557812379
"hsa_amd_agents_allow_access",4,46864,11716,0.1662545660228654
"hsa_executable_get_symbol_by_name",15,39250,2616,0.1392431656793587
"hsa_executable_symbol_get_info",15,37294,2486,0.1323040667731466
"hsa_code_object_reader_create_from_memory",2,34293,17146,0.1216577294431146
"hsa_isa_get_info_alt",2,24096,12048,0.08548288713910389
"hsa_amd_memory_lock_to_pool",1,23886,23886,0.0847378918577621
"hsa_amd_profiling_get_dispatch_time",3,23537,7845,0.08349978065210359
"hsa_amd_agent_memory_pool_get_info",9,22836,2537,0.08101291545105313
"hsa_executable_create_alt",2,15993,7996,0.056736712069044175
"hsa_queue_load_read_index_scacquire",4,14668,3667,0.05203614660343525
"hsa_iterate_agents",2,13759,6879,0.04881138131419864
"hsa_signal_load_relaxed",5,13339,2667,0.047321390751515056
"hsa_signal_store_screlease",4,11315,2828,0.04014105527801131
"hsa_queue_add_write_index_screlease",4,9988,2497,0.035433394619246744
"hsa_signal_wait_scacquire",3,9917,3305,0.035181515262221665
"hsa_signal_silent_store_relaxed",4,9639,2409,0.03419528341358825
"hsa_queue_load_read_index_relaxed",4,9498,2374,0.0336950722961159
"hsa_amd_profiling_set_profiler_enabled",1,3352,3352,0.011891543728846125
"hsa_agent_iterate_isas",1,2864,2864,0.010160316598870914
"hsa_amd_profiling_async_copy_enable",1,2863,2863,0.010156769002293096
"hsa_code_object_reader_destroy",1,2304,2304,0.008173662515292801
