"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipLaunchKernel",1,224699968,224699968,99.29579649723533
"hipMallocManaged",3,835371,278457,0.36915371886342224
"hipDeviceSynchronize",1,399143,399143,0.1763828560104468
"hipFree",3,342850,114283,0.15150675868844418
"__hipPushCallConfiguration",1,4889,4889,0.002160468260836528
"hipGetDeviceProperties",1,3283,3283,0.0014507705666447785
"hipGetDevice",1,3282,3282,0.0014503286627256056
"__hipPopCallConfiguration",1,2444,2444,0.0010800131784586776
"hipPeekAtLastError",1,2305,2305,0.0010185885336936383
