"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_system_get_info",7032,32729600,4654,47.992978188090575
"hsa_queue_create",1,23363140,23363140,34.258489820386025
"hsa_executable_freeze",2,8378290,4189145,12.285487424945536
"hsa_amd_svm_attributes_set",3,798773,266257,1.171279061346172
"hsa_amd_memory_pool_allocate",5,783269,156653,1.1485448044708007
"hsa_executable_load_agent_code_object",2,386851,193425,0.567258127353864
"hsa_signal_wait_scacquire",2,332654,166327,0.48778647359518856
"hsa_agent_get_info",85,255899,3010,0.3752369453141557
"hsa_amd_memory_pool_get_info",84,205752,2449,0.3017040002980792
"hsa_signal_create",41,182563,4452,0.26770086029014656
"hsa_system_get_major_extension_table",5,147712,29542,0.21659717179920426
"hsa_amd_agent_iterate_memory_pools",24,127394,5308,0.1868039164332473
"hsa_amd_agents_allow_access",4,100852,25213,0.14788411212557778
"hsa_executable_destroy",1,100850,100850,0.14788117942990245
"hsa_code_object_reader_create_from_memory",2,42533,21266,0.062368172579990486
"hsa_executable_get_symbol_by_name",15,40791,2719,0.05981379464675409
"hsa_executable_symbol_get_info",15,35338,2355,0.05181779988789184
"hsa_signal_store_screlease",2,27377,13688,0.04014420475213128
"hsa_amd_memory_lock_to_pool",1,26190,26190,0.038403649868806594
"hsa_isa_get_info_alt",2,25702,12851,0.03768807212401936
"hsa_iterate_agents",3,23048,7682,0.03379638496281995
"hsa_amd_agent_memory_pool_get_info",9,21443,2382,0.031442896683345545
"hsa_executable_create_alt",2,14737,7368,0.02160956808387181
"hsa_signal_load_relaxed",3,7612,2537,0.011161839740410682
"hsa_amd_profiling_async_copy_enable",2,7193,3596,0.010547439996423285
"hsa_queue_load_read_index_relaxed",2,5658,2829,0.008296596065586396
"hsa_queue_add_write_index_screlease",2,5168,2584,0.007578085625123805
"hsa_queue_load_read_index_scacquire",2,4888,2444,0.007167508230573754
"hsa_signal_silent_store_relaxed",2,4820,2410,0.007067796577611599
"hsa_agent_iterate_isas",1,2933,2933,0.004300798207911788
"hsa_amd_profiling_get_dispatch_time",1,2794,2794,0.004096975858474441
"hsa_amd_profiling_set_profiler_enabled",1,2444,2444,0.003583754115286877
"hsa_code_object_reader_destroy",1,2375,2375,0.003482576114487043
"hsa_dispatch",1,0,0,0.0
