"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",2,207456224,103728112,92.27026212401097
"hipMemset",1,8568735,8568735,3.8111145053965076
"hipLaunchKernel",1,3461814,3461814,1.539710301507131
"hipStreamDestroy",2,2745383,1372691,1.2210634328368166
"hipMemcpy",1,677598,677598,0.30137512323903853
"hipHostMalloc",3,632899,210966,0.28149435819300567
"hipMemcpyAsync",2,526951,263475,0.23437188800134384
"hipHostFree",3,331885,110628,0.1476124232600868
"hipMalloc",3,256037,85345,0.11387752388400453
"hipFree",3,78991,26330,0.035132810840313715
"hipDeviceSynchronize",1,65231,65231,0.029012778467477355
"hipStreamSynchronize",2,17390,8695,0.007734546727007577
"__hipPushCallConfiguration",1,4260,4260,0.0018947193247298606
"hipGetDevice",1,3353,3353,0.0014913131210843246
"hipGetDeviceProperties",1,3352,3352,0.001490868351289787
"__hipPopCallConfiguration",1,2934,2934,0.001304954577173101
"hipPeekAtLastError",1,2375,2375,0.0010563282620266242
